,expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
10,37116,LORDINEX ® 10 MG TABLETAS,NOVAMED S.A.,INVIMA 2015 M-011734-R3,04/19/2000,12/17/2020,Vigente,37116,11,4.0,PRESENTACION COMERCIAL: MARCA. CAJA PLEGADIZA CON UN BLISTER PVC TRANSPARENTE INCOLORO/ FOIL ALUMINIO POR 4 TABLETAS DE 10 MG,Activo,09/16/2015,,No,U,R06AX13,LORATADINA,ORAL,A,LORATADINA,mg,10.0,CADA TABLETA CONTIENE.,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
11,20113482,ONEGRIP®,NEW HEALTH PHARMACEUTICALS S.A.S,INVIMA 2018M-0018104,04/05/2018,04/26/2023,Vigente,20113482,5,500.0,IUM 2C1005211000104: CAFEINA 30.0 MG/CETIRIZINA 5.0 MG/FENILEFRINA 10.0 MG/PARACETAMOL 500.0 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL / CAJA PLEGADIZA POR 500 CÁPSULAS EN BLISTER ALUMINIO/PVC/PVDC TRANSPARENTE EN UN FOIL DE ALUMINIO,Activo,04/02/2018,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30.0,CADA CAPSULA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
12,20138748,SEVEDOL® TENSE,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0018364,08/24/2018,09/07/2023,Vigente,20138748,5,40.0,2C1024881002104: CAJA DE CARTON POR 40 TABLETAS EN BLÍSTER EN BLÍSTER DE PVC INCOLORO MÁS PAPEL ALUMINIO POR 4 TABLETAS,Activo,09/06/2018,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65.0,TABLETA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
13,20104221,DURAFEX® E FORTE CAPSULA,TECNOQUIMICAS S.A.,INVIMA 2019M-0018763,02/08/2019,02/28/2024,Vigente,20104221,1,2.0,MUESTRA MÉDICA : CAJA PLEGADIZA POR 2 CÁPSULAS BLANDAS EN BLÍSTER ALUMINIO-PVC/ACLAR TRANSPARENTE POR 2 CÁPSULAS,Activo,02/19/2018,,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,325.0,CAPSULA BLANDA,CAPSULA BLANDA,TECNOQUIMICAS S.A.,FABRICANTE,FABRICAR Y VENDER
14,20019273,NOPTIC 3 MG TABLETAS RECUBIERTAS,LABORATORIOS ANDROMACO S.A,INVIMA 2016M-0011427-R1,10/05/2010,09/21/2021,Vigente,20019273,6,120.0,CAJA X 120 COMPRIMIDOS EN BLISTER DE PVDC TRANSPARENTE / ALUMINIO X 15 COMPRIMIDOS,Inactivo,08/05/2010,09/01/2016,No,U,N05CF04,ESZOPICLONA,ORAL,A,ESZOPICLONA,mg,3.0,TABLETA RECUBIERTA.,TABLETA RECUBIERTA,GRÜNENTHAL COLOMBIANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
15,19939513,NORAVER P TABLETAS DE DISOLUCIÓN BUCAL,TECNOFAR TQ S.A.S,INVIMA 2014M-0002754-R1,09/16/2003,09/04/2019,Vigente,19939513,95,46.0,CAJA POR 46 TABLETAS EN FOIL ALUMINIO/ALUMINIO BLANCO POR 2 TABLETAS CADA FOIL SABORCEREZA,Activo,08/04/2015,,No,U,R02AD01,BENZOCAINA,BUCAL,A,BENZOCAINA,mg,10.0,TABLETA DE DISOLUCIÓN BUCAL,TABLETA BUCAL,TECNOQUIMICAS S.A.(PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
16,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,13,4.0,MUESTRA MÉDICA: BLÍSTER DE ALUMINIO / PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA,Activo,04/16/2019,,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30.0,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
17,20006250,ASACARD 81 MG. TABLETAS RECUBIERTAS,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2009M-0010267,12/16/2009,01/20/2020,Vigente,20006250,7,50.0,CAJA DE CARTON POR 50 TABLETAS EN BLISTER DE ALU/ALU (POLIAMIDA + FILM DE PVC + FOIL DE ALUMINIO) MÁS PAPEL DE ALUMINIO.,Activo,06/16/2009,,No,U,B01AC06,ACETILSALICILICO ACIDO,ORAL,A,ACIDO ACETILSALICILICO GRANULAR 90 MG. EQUIVALENTE A ACIDO ACETILSALICILICO,mg.,81.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
18,19914092,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,16,60.0,CAJA POR 60 TABLETAS EN BLISTER ALU/ALU MAS PAPEL ALUMINIO POR 6 TABLETAS,Activo,04/13/2015,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65.0,TABLETA,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
19,20126194,SENSITRACE®,LABORATORIOS BAXTER S.A.,INVIMA 2019M-0018892,03/21/2019,04/05/2024,Vigente,20126194,1,10.0,CAJA POR 10 AMPOLLAS DE POLIPROPILENO GRADO MÉDICO INCOLORAS Y TRANSPARENTES CON 10 ML CADA UNA,Activo,08/13/2018,,No,U,A11AA04,MULTIVITAMINAS Y ELEMENTOS TRAZA,INTRAVENOSA,A,SELENITO DE SODIO,µg,153.32,AMPOLLA POR 10 ML,SOLUCIÓN CONCENTRADA PARA INFUSIÓN,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER
20,20033258,OLIMEL N9 E,LABORATORIOS BAXTER S.A.,INVIMA 2018M-0012867-R1,02/09/2012,01/04/2024,Vigente,20033258,3,1.0,BOLSA DE PLÁSTICO MULTIESTRATIFICADA DE COPOLIMERO POLI-EP / EVA / PCCE CON TRES COMPARTIMENTOS POR 2000 ML,Activo,02/07/2012,,No,U,B05BA10,COMBINACIONES,INTRAVENOSA,C,ALANINA,g,0.8240000000000001,CADA 100 ML,EMULSION INYECTABLE,BAXTER S.A.,FABRICANTE,IMPORTAR Y VENDER
21,1980545,NORVAS ® 10 MG TABLETAS,PFIZER S.A.S.,INVIMA 2016M-004028R-2,01/01/1999,09/06/2021,Vigente,1980545,23,84.0,CAJA POR 84 TABLETAS EN BLISTER PVC/PVDC OPACO CON FOIL DE ALUMINIO,Activo,06/20/2013,,No,U,C08CA01,AMLODIPINO,ORAL,A,BESILATO DE AMLODIPINO 13.889 MG EQUIVALENTE A AMLODIPINO,mg,10.0,TABLETA,TABLETA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
22,19954781,OPHTHABRACIN D SOLUCIÓN OFTALMICA,ESPECIALIDADES OFTALMOLOGICAS S.A.,INVIMA 2016M-0005384-R1,02/17/2006,09/23/2021,Vigente,19954781,2,48.0,CAJA POR 6 FRASCOS.FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD POR 8 ML,Inactivo,03/29/2007,08/19/2014,No,ml,S01AA12,TOBRAMICINA,CONJUNTIVAL,C,1.33 MG DE DEXAMETASONA SODIO FOSFATO EQUIVALENTE A  DEXAMETASONA,mg,1.0,1 ML DE SOLUCION OFTLMICA,SOLUCION OFTALMICA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
23,20037986,CANDAM® 5/32 MG TABLETAS,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-0013418-R1,07/24/2012,10/31/2022,Vigente,20037986,11,2.0,MUESTRA MEDICA: CAJA POR 2 TABLETAS EN BLISTER ALUMINIO/ALUMINIO MAS PAPEL ALUMINIO.,Activo,02/27/2017,08/15/2017,Si,U,C08CA01,AMLODIPINO,ORAL,A,CANDESARTAN CILEXETILO,mg,32.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
24,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,18,8.0,CAJA X 8 CÁPSULAS CON 2 BLÍSTER DE ALUMINIO/PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA CADA UNO,Activo,04/16/2019,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30.0,CÁPSULA DURA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
25,19991053,AMPICILINA + SULBACTAM 1.5 G POLVO PARA SOLUCIÓN INYECTABLE,PROCAPS S.A.,INVIMA 2018M-0008484-R1,09/30/2008,08/08/2023,Vigente,19991053,1,1.0,CAJA X 1 VIAL DE VIDRIO TIPO I TRANSPARENTE CON 1. 5 G. DE AMPICILINA + SULBACTAM EN FORMA DE POLVO PARA RECONSTITUIR,Activo,06/25/2008,,No,U,J01CR01,AMPICILINA E INHIBIDOR ENZIMATICO,INTRAVENOSA,A,SULBACTAM SÓDICO ESTÉRIL EQUIVALENTE A SULBACTAM BASE,g,0.5,VIAL,POLVO PARA SOLUCIÓN INYECTABLE,PHARMAYECT S.A.,FABRICANTE,FABRICAR Y VENDER
26,20010385,MISOPROS V 200 MCG,LABORATORIOS MK S.A.S.,INVIMA 2010M-0010857,06/02/2010,06/17/2020,Vigente,20010385,12,16.0,CAJA POR 16 TABLETAS EN BLISTER PVC/PE/PVDC BLANCO - ALUMINIO.,Activo,02/18/2011,,No,U,G02AD06,MISOPROSTOL,VAGINAL,A,MISOPROSTOL AL 1% EQUIVALENTE A MISOPROSTOL,mcg,200.0,TABLETA VAGINAL RANURADA,TABLETA VAGINAL,TECNOQUIMICAS S.A. PLANTA JAMUNDI,FABRICANTE,FABRICAR Y VENDER
27,20123645,LOSARTAN POTASICO 50 MG TABLETAS,C.I. FARMACAPSULAS S.A.,INVIMA 2018M-0018181,04/30/2018,05/17/2023,Vigente,20123645,16,60.0,CAJA POR 60 TABLETAS. EN BLISTER FOIL ALUMINIO / PVC TRANSPARENTE. 4 BLISTER POR 15 TABLETAS. (IUM 1L1011091001101),Activo,04/16/2019,,No,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50.0,TABLETA,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
28,28035,GENTAMICINA 160MG/2ML,LABORATORIOS RYAN DE COLOMBIA S.A.S,INVIMA 2009 M-009484-R2,01/01/1999,06/09/2019,Vigente,28035,2,3.0,CAJA POR 3 AMPOLLAS DE VIDRIO TIPO I. POR 2 ML CADA AMPOLLA.,Activo,02/09/2007,,No,U,J01GB03,GENTAMICINA,INTRAVENOSA,A,GENTAMICINA SULFATO EQUIVALENTE A GENTAMICINA BASE,mg,160.0,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,LABORATORIOS RYAN DE COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER
29,20099544,SANADOL,HIGH NUTRITION COMPANY S.A.S.,INVIMA 2016M-0016759,01/28/2016,02/16/2021,Vigente,20099544,2,8.0,CAJA POR 8 CÁPSULAS EN BLISTER PVC-PVDC TRANSPARENTE /ALUMINIO POR 8 CÁPSULAS,Activo,01/19/2016,,No,U,M01AE02,NAPROXENO,ORAL,A,NAPROXENO SÓDICO,mg,275.0,CAPSULA BLANDA,CAPSULA BLANDA,HC CLOVER. PRODUCTOS Y SERVICIOS,FABRICANTE,IMPORTAR. ENVASAR Y VENDER
30,20139334,SULTAMIX® 250 MG / 5ML POLVO PARA SUSPENSION ORAL,BIOCHEM FARMACEUTICA DE COLOMBIA S.A.,INVIMA 2019M-0018930,04/08/2019,05/03/2024,Vigente,20139334,2,1.0,MUESTRA MÉDICA: 1S1003641002101: CAJA CON FRASCO DE VIDRIO ÁMBAR TIPO II + TAPA PLÁSTICA DE POLIPROPILENO BLANCO CON LINER DARAFORM AZUL EN MATERIAL EVA. CON POLVO PARA RECONSTITUIR A 60 ML,Activo,07/24/2018,,Si,U,J01CR01,AMPICILINA E INHIBIDOR ENZIMATICO,ORAL,E,SULTAMICILINA,g,5.0,71.5 G DE POLVO PARA RECONSTITUIR A 100 ML DE SUSPENSIÓN ORAL.,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,SYNTOFARMA S.A.,FABRICANTE,FABRICAR Y VENDER
31,19942493,SUPRAVITAL PLUS,PROCAPS S.A.,INVIMA 2014FE-0003289-R1,04/19/2004,12/22/2019,Vigente,19942493,3,30.0,CAJA PLEGADIZA POR 30 CÁPSULAS BLANDAS DE GELATINA EN BLISTER ALUMINIO / PVC TRANSPARENTE. CADA BLISTER POR 10 CÁPSULAS BLANDAS DE GELATINA.,Activo,11/10/2006,,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,NICOTINAMIDA ASCORBATO EQUIVALENTE A 8.18 MG DE NICOTINAMIDA Y 24.5 MG DE ÁCIDO ASCÓRBICO (EXCESO DEL 10%),mg,33.3955,CÁPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y EXPORTAR
32,20103604,RUVAX ® 10 MG TABLETAS RECUBIERTAS,HUMAX PHARMACEUTICAL S.A.,INVIMA 2017M-0017552,01/13/2017,02/09/2022,Vigente,20103604,12,28.0,USO INSTITUCIONAL: CAJA PLEGADIZA POR 28 TABLETAS RECUBIERTAS EN 2 FOIL DE ALUMINIO PEBD POR 14 TABLETAS RECUBIERTAS CADA UNO,Activo,12/09/2016,,No,U,C10AA07,ROSUVASTATINA,ORAL,A,ROSUVASTATINA CALCICA 10.395 MG EQUIVALENTE A ROSUVASTATINA BASE,mg,10.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,FARMATECH S.A.,FABRICANTE,FABRICAR Y VENDER
33,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,8,100.0,CAJA X 100 CÁPSULAS DÚRAS EN CUATRO (4) BLISTER DE ALUMINIO / PVC TRANSPARENTE,Activo,10/20/2017,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,FENILEFRINA CLORHIDRATO,mg,10.0,CÁPSULA DURA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
34,20153561,VAYAPLIN® 5 MG,PROCAPS S.A.,INVIMA 2019M-0018924,04/05/2019,04/29/2024,Vigente,20153561,3,28.0,IUM 1T1006511009101 CAJA POR 28 TABLETAS RECUBIERTAS EN BLISTER ALU/FILL ACLAR POR 14 TABLETAS RECUBIERTAS CADA UNO.,Activo,04/04/2019,,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO,mg,5.0,TABLETA,TABLETA RECUBIERTA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
35,20002706,DIMETAPP ® GRIPA CÁPSULAS.,A.H. ROBINS S.A.S.,INVIMA 2010M-0010510,03/03/2010,04/06/2020,Vigente,20002706,9,4.0,MUESTRA MÉDICA: CAJA X 4 CÁPSULAS CON UN BLÍSTER DE ALUMINIO/PVC TRANSPARENTE POR 4 CÁPSULAS BLANCA-PÚRPURA,Activo,06/28/2018,,Si,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA ANHIDRA,mg,30.0,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
36,19906318,GLUCONATO DE CALCIO ECAR AL 10% SOLUCION INYECTABLE,LABORATORIOS ECAR S.A,INVIMA 2016M-14424-R2,01/01/1999,09/16/2021,Vigente,19906318,11,10000.0,CAJA DE CARTON CON AVISPERO X 1000 AMPOLLAS DE VIDRIO TIPO I POR 10 ML. CADA UNA,Inactivo,04/02/2014,07/26/2016,No,ml,A12AA20,CALCIO (DIFERENTES SALES EN COMBINACION),INTRAVENOSA,A,SACARATO DE CALCIO TETRAHIDRATADO,g,0.045,AMPOLLA DE 10 ML,SOLUCION INYECTABLE,LABORATORIOS ECAR S.A,FABRICANTE,FABRICAR Y VENDER
37,20107016,MIGRACEF® TABLETA RECUBIERTA,PHARMA LASER LTDA.,INVIMA 2018M-0018146,04/19/2018,05/11/2023,Vigente,20107016,3,100.0,CAJA POR 100 TABLETAS EN BLISTER PVC/PVDC BLANCO.,Inactivo,02/27/2018,02/28/2018,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO GRANULOS CD 90% EQUIVALENTE A IBUPROFENO BASE,mg,400.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,COLOMPACK S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
38,19919867,LIPITOR® 40 MG. TABLETAS,PFIZER S.A.S.,INVIMA 2018M-0000961-R2,01/17/2002,03/13/2023,Vigente,19919867,33,5.0,MUESTRA MEDICA: CAJA POR 5 TABLETAS EN BLISTER ALUMINIO PA / ALUMINIO / PVC,Inactivo,11/30/2009,06/20/2012,Si,U,C10AA05,ATORVASTATIN,ORAL,A,ATORVASTATINA CALCICA 43.40 MG EQUIVALENTE A ATORVASTATINA BASE,mg,40.0,TABLETA,TABLETA,PFIZER PHARMACEUTICALS LLC,FABRICANTE,IMPORTAR Y VENDER
39,20085090,TADALAFILO TABLETAS RECUBIERTAS 5 MG,WINTHROP PHARMACEUTICALS DE COLOMBIA S.A.,INVIMA 2015M-0015913,06/01/2015,06/19/2020,Vigente,20085090,10,28.0,CAJA POR 28 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC TRANSPARENTE Y ALUMINIO,Activo,04/07/2015,,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO,mg,5.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,SANOFI - AVENTIS DE COLOMBIA S.A,FABRICANTE,FABRICAR Y VENDER
40,20123645,LOSARTAN POTASICO 50 MG TABLETAS,C.I. FARMACAPSULAS S.A.,INVIMA 2018M-0018181,04/30/2018,05/17/2023,Vigente,20123645,10,300.0,INSTITUCIONAL CAJA POR 300 TABLETAS. EN BLISTER FOIL ALUMINIO / PVC TRANSPARENTE. 30 BLISTER POR 10 TABLETAS. (IUM 1L1011091001103),Activo,04/23/2018,,No,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50.0,TABLETA,TABLETA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
41,19960586,NATELE® EASYGELS,BAYER A.G.,INVIMA 2017M-0005692-R1,05/05/2006,05/24/2022,Vigente,19960586,2,28.0,CAJA POR 28 CÁPSULAS EN BLISTER DE ALUMINIO/ PVC/PVDC TRANSPARENTE POR 7 CÁPSULAS BLANDAS CADA UNO,Activo,02/05/2007,,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,VITAMINA B6 (PIRIDOXINA CLORHIDRATO),mg,4.0,CAPSULA,CAPSULA BLANDA,BAYER S.A.,IMPORTADOR,IMPORTAR Y VENDER
42,19904844,DOLOFEN SLEEP,PROCAPS S.A.,INVIMA 2016 M-13901-R2,11/22/1999,04/15/2021,Vigente,19904844,2,8.0,BLISTER DE PVC/ALUMINIO POR 4 TABLETAS. EN CAJA POR 8 TABLETAS,Inactivo,11/10/2006,06/23/2010,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,DIFENHIDRAMINA CLORHIDRATO,mg,25.0,TABLETA,TABLETA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
